,date,symbol,open,high,low,close,adj_close,volume
0,2024-01-02,goog,139.60000610351562,140.61500549316406,137.74000549316406,139.55999755859375,139.4013671875,20071900
1,2024-01-03,goog,138.60000610351562,141.08999633789062,138.42999267578125,140.36000061035156,140.20045471191406,18974300
2,2024-01-04,goog,139.85000610351562,140.63499450683594,138.00999450683594,138.0399932861328,137.88308715820312,18253300
3,2024-01-05,goog,138.3520050048828,138.80999755859375,136.85000610351562,137.38999938964844,137.2338409423828,15433200
4,2024-01-08,goog,138.0,140.63999938964844,137.8800048828125,140.52999877929688,140.37026977539062,17645300
5,2024-01-09,goog,140.05999755859375,142.8000030517578,139.7899932861328,142.55999755859375,142.39794921875,19579700
6,2024-01-10,goog,142.52000427246094,144.52499389648438,142.4600067138672,143.8000030517578,143.6365509033203,16641900
7,2024-01-11,goog,144.89500427246094,146.66000366210938,142.21499633789062,143.6699981689453,143.50669860839844,17471100
8,2024-01-12,goog,144.33999633789062,144.74000549316406,143.36000061035156,144.24000549316406,144.0760498046875,13995200
9,2024-01-16,goog,143.42999267578125,145.83999633789062,143.05599975585938,144.0800018310547,143.91622924804688,19198900
10,2024-01-17,goog,142.91000366210938,143.41000366210938,140.50999450683594,142.88999938964844,142.7275848388672,17884500
11,2024-01-18,goog,143.44000244140625,145.5850067138672,143.35000610351562,144.99000549316406,144.8251953125,18876800
12,2024-01-19,goog,146.30499267578125,148.0399932861328,145.8000030517578,147.97000122070312,147.8018035888672,27170900
13,2024-01-22,goog,148.7100067138672,150.01499938964844,147.5800018310547,147.7100067138672,147.5421142578125,21829200
14,2024-01-23,goog,147.72000122070312,148.86000061035156,147.19000244140625,148.67999267578125,148.51100158691406,14113600
15,2024-01-24,goog,150.2899932861328,151.57000732421875,149.83999633789062,150.35000610351562,150.17910766601562,19245000
16,2024-01-25,goog,151.74000549316406,154.75999450683594,151.22000122070312,153.63999938964844,153.46536254882812,21495100
17,2024-01-26,goog,152.8699951171875,154.11000061035156,152.8000030517578,153.7899932861328,153.6151885986328,19494500
18,2024-01-29,goog,153.63999938964844,155.1999969482422,152.9199981689453,154.83999633789062,154.66400146484375,20909300
19,2024-01-30,goog,154.00999450683594,155.0399932861328,152.77499389648438,153.0500030517578,152.87603759765625,26578900
20,2024-01-31,goog,145.38999938964844,145.58999633789062,141.5500030517578,141.8000030517578,141.63882446289062,43908600
21,2024-02-01,goog,143.69000244140625,144.6199951171875,142.25999450683594,142.7100067138672,142.54779052734375,25526900
22,2024-02-02,goog,140.88999938964844,143.8800048828125,138.1699981689453,143.5399932861328,143.3768310546875,42116900
23,2024-02-05,goog,144.0399932861328,146.6699981689453,143.91000366210938,144.92999267578125,144.7652587890625,29254400
24,2024-02-06,goog,145.9600067138672,146.74000549316406,144.52000427246094,145.41000366210938,145.24472045898438,21517700
25,2024-02-07,goog,146.1199951171875,147.0,145.2100067138672,146.67999267578125,146.5132598876953,21436100
26,2024-02-08,goog,146.97000122070312,147.61000061035156,146.4199981689453,147.22000122070312,147.0526580810547,18241300
27,2024-02-09,goog,147.9499969482422,150.69500732421875,147.42999267578125,150.22000122070312,150.04925537109375,21877700
28,2024-02-12,goog,149.5399932861328,150.58999633789062,148.55999755859375,148.72999572753906,148.56094360351562,17236100
29,2024-02-13,goog,146.07000732421875,148.0399932861328,145.11000061035156,146.3699951171875,146.20362854003906,18138500
30,2024-02-14,goog,147.3699951171875,147.8300018310547,145.55499267578125,147.13999938964844,146.97274780273438,16651800
31,2024-02-15,goog,144.4600067138672,144.75999450683594,141.8800048828125,143.94000244140625,143.77639770507812,26724300
32,2024-02-16,goog,144.2100067138672,144.47999572753906,141.52000427246094,141.75999450683594,141.59886169433594,21849700
33,2024-02-20,goog,140.94000244140625,143.32899475097656,140.8000030517578,142.1999969482422,142.03836059570312,18625600
34,2024-02-21,goog,142.63999938964844,143.97999572753906,141.91000366210938,143.83999633789062,143.67649841308594,16499600
35,2024-02-22,goog,146.1199951171875,146.1999969482422,144.00999450683594,145.32000732421875,145.1548309326172,23024700
36,2024-02-23,goog,144.97000122070312,145.9550018310547,144.7899932861328,145.2899932861328,145.12484741210938,14519400
37,2024-02-26,goog,143.4499969482422,143.83999633789062,138.74000549316406,138.75,138.59228515625,33513000
38,2024-02-27,goog,139.41000366210938,140.49000549316406,138.5,140.10000610351562,139.94076538085938,22364000
39,2024-02-28,goog,139.10000610351562,139.27999877929688,136.63999938964844,137.42999267578125,137.27378845214844,30628700
40,2024-02-29,goog,138.35000610351562,139.9499969482422,137.57000732421875,139.77999877929688,139.62110900878906,35485000
41,2024-03-01,goog,139.61000061035156,140.0,137.97500610351562,138.0800018310547,137.9230499267578,28522000
42,2024-03-04,goog,136.5399932861328,136.6300048828125,132.86000061035156,134.1999969482422,134.04745483398438,43571500
43,2024-03-05,goog,132.74000549316406,134.02000427246094,131.5500030517578,133.77999877929688,133.6279296875,28447600
44,2024-03-06,goog,134.24000549316406,134.74000549316406,131.9499969482422,132.55999755859375,132.40931701660156,23175200
45,2024-03-07,goog,133.88999938964844,135.82000732421875,132.66000366210938,135.24000549316406,135.08628845214844,24107300
